experiment,method,sparsity,dataset,arch,layers,epochs,lr,best_acc1,best_loss,final_acc1,final_acc5,final_loss,total_training_time_hours,val_best_acc1,val_final_acc1,val_final_loss
dense_cifar10_resnet,static,0.5,cifar10,resnet,20,2,0.1,56.72999954223633,1.3150473119735717,56.72999954223633,93.68000030517578,1.3150473119735717,0.005077985392676459,56.72999954223633,56.72999954223633,1.3150473119735717
static_sparsity_0.5_cifar10_resnet,static,0.5,cifar10,resnet,20,2,0.1,60.40999984741211,1.1207491390228272,60.40999984741211,96.39999389648438,1.1207491390228272,0.00570658458603753,60.40999984741211,60.40999984741211,1.1207491390228272
static_sparsity_0.7_cifar10_resnet,static,0.7,cifar10,resnet,20,2,0.1,55.8599967956543,1.347953908920288,55.8599967956543,93.82999420166016,1.347953908920288,0.005490623580084906,55.8599967956543,55.8599967956543,1.347953908920288
static_sparsity_0.8_cifar10_resnet,static,0.8,cifar10,resnet,20,2,0.1,61.369998931884766,1.1282834493637084,61.369998931884766,95.98999786376953,1.1282834493637084,0.005606379244062635,61.369998931884766,61.369998931884766,1.1282834493637084
static_sparsity_0.9_cifar10_resnet,static,0.9,cifar10,resnet,20,2,0.1,51.79999923706055,1.3914107181549071,51.79999923706055,94.82999420166016,1.3914107181549071,0.005472037527296279,51.79999923706055,51.79999923706055,1.3914107181549071
static_sparsity_0.95_cifar10_resnet,static,0.95,cifar10,resnet,20,2,0.1,54.66999816894531,1.2513352624893188,54.66999816894531,95.12999725341797,1.2513352624893188,0.005506869289610121,54.66999816894531,54.66999816894531,1.2513352624893188
dpf_sparsity_0.5_cifar10_resnet,dpf,0.5,cifar10,resnet,20,2,0.1,57.099998474121094,1.1987108423233033,57.099998474121094,95.72000122070312,1.1987108423233033,0.0055116048124101424,57.099998474121094,57.099998474121094,1.1987108423233033
dpf_sparsity_0.7_cifar10_resnet,dpf,0.7,cifar10,resnet,20,2,0.1,63.06999969482422,1.0465595935821532,63.06999969482422,97.0,1.0465595935821532,0.005457157161500719,63.06999969482422,63.06999969482422,1.0465595935821532
dpf_sparsity_0.8_cifar10_resnet,dpf,0.8,cifar10,resnet,20,2,0.1,57.849998474121094,1.1927788400650023,57.849998474121094,96.31999969482422,1.1927788400650023,0.0055075638161765205,57.849998474121094,57.849998474121094,1.1927788400650023
dpf_sparsity_0.9_cifar10_resnet,dpf,0.9,cifar10,resnet,20,2,0.1,64.0999984741211,1.041418755722046,64.0999984741211,96.69999694824219,1.041418755722046,0.0054608099328147044,64.0999984741211,64.0999984741211,1.041418755722046
dpf_sparsity_0.95_cifar10_resnet,dpf,0.95,cifar10,resnet,20,2,0.1,60.959999084472656,1.10844891166687,60.959999084472656,96.54999542236328,1.10844891166687,0.005635937054951985,60.959999084472656,60.959999084472656,1.10844891166687
