name,method,sparsity,sparsity_percent,best_acc1,final_acc1,best_acc5,time_hours,epochs,seed
dpf_sparsity0.5_seed42,dpf,0.5,50,92.33999633789062,91.89999389648438,99.72999572753906,0.5,200,42
static_sparsity0.5_seed42,static,0.5,50,91.82999420166016,91.45999908447266,99.75999450683594,0.49,200,42
dpf_sparsity0.7_seed42,dpf,0.7,70,91.8699951171875,90.98999786376953,99.79000091552734,0.52,200,42
static_sparsity0.7_seed42,static,0.7,70,90.91999816894531,90.61000061035156,99.68999481201172,0.49,200,42
dpf_sparsity0.8_seed42,dpf,0.8,80,91.32999420166016,90.5199966430664,99.68000030517578,0.52,200,42
static_sparsity0.8_seed42,static,0.8,80,89.91999816894531,89.36000061035156,99.6199951171875,0.53,200,42
dpf_sparsity0.9_seed42,dpf,0.9,90,89.5999984741211,88.7699966430664,99.6199951171875,0.54,200,42
static_sparsity0.9_seed42,static,0.9,90,87.75,87.48999786376953,99.57999420166016,0.61,200,42
dpf_sparsity0.95_seed42,dpf,0.95,95,86.75,84.7699966430664,99.39999389648438,0.49,200,42
static_sparsity0.95_seed42,static,0.95,95,85.29999542236328,85.0199966430664,99.31999969482422,0.5,200,42
