name,method,sparsity_percent,best_acc1,final_acc1,time_hours
dense_seed123,dense,0,92.50999450683594,92.41999816894531,0.45
dense_seed42,dense,0,92.62999725341797,92.48999786376953,0.53
dpf_sparsity0.5_seed42,dpf,50,92.33999633789062,91.89999389648438,0.5
static_sparsity0.5_seed42,static,50,91.82999420166016,91.45999908447266,0.49
dpf_sparsity0.7_seed42,dpf,70,91.8699951171875,90.98999786376953,0.52
static_sparsity0.7_seed42,static,70,90.91999816894531,90.61000061035156,0.49
dpf_sparsity0.8_seed42,dpf,80,91.32999420166016,90.5199966430664,0.52
static_sparsity0.8_seed42,static,80,89.91999816894531,89.36000061035156,0.53
dpf_sparsity0.9_seed42,dpf,90,89.5999984741211,88.7699966430664,0.54
static_sparsity0.9_seed42,static,90,87.75,87.48999786376953,0.61
dpf_sparsity0.95_seed42,dpf,95,86.75,84.7699966430664,0.49
static_sparsity0.95_seed42,static,95,85.29999542236328,85.0199966430664,0.5
