name,method,sparsity,sparsity_percent,accuracy,time_hours
dpf_sparsity0.9_seed42,dpf,0.9,90.0,89.5999984741211,0.5429771050479677
dpf_sparsity0.7_seed42,dpf,0.7,70.0,91.8699951171875,0.5226659919818243
dpf_sparsity0.8_seed42,dpf,0.8,80.0,91.32999420166016,0.5230819696850247
dpf_sparsity0.5_seed42,dpf,0.5,50.0,92.33999633789062,0.5014925336837769
dpf_sparsity0.95_seed42,dpf,0.95,95.0,86.75,0.49020073473453524
static_sparsity0.9_seed42,static,0.9,90.0,87.75,0.6070412665605545
static_sparsity0.7_seed42,static,0.7,70.0,90.91999816894531,0.4918811192777422
static_sparsity0.8_seed42,static,0.8,80.0,89.91999816894531,0.526561692489518
static_sparsity0.5_seed42,static,0.5,50.0,91.82999420166016,0.4892523250977198
static_sparsity0.95_seed42,static,0.95,95.0,85.29999542236328,0.49552574998802607
